,Sample.Name,Order,Round,Sampling.date,Species,Hygienic.zoning,Food.contact.surface,Area,Sampling.site.detail,Sampling.site.detail.drain,Listeria.spp,Listeria.monocytogenes,Sample_MOC_Control,Quantity,Facility,Extraction.date
a169,a169,82,2,7/15/24,pork,NA,yes,Raw_material_processing,Bowl_cutter,Other,negative,negative,Sample,0.203,4,3/25/25
a179,a179,87,2,7/28/24,pork,NA,yes,Raw_material_processing,Bowl_cutter,Other,negative,negative,Sample,1.22,3,3/25/25
a209,a209,104,1,8/12/24,pork,NA,yes,Raw_material_processing,Bowl_cutter,Other,negative,negative,Sample,0.0499,6,3/25/25
a261,a261,129,2,9/9/24,pork,NA,yes,Raw_material_processing,Bowl_cutter,Other,negative,negative,Sample,0.0537,2,3/25/25
a317,a317,156,3,9/16/24,pork,NA,yes,Raw_material_processing,Bowl_cutter,Other,negative,negative,Sample,0.0275,4,3/25/25
a327,a327,162,3,10/13/24,pork,NA,yes,Raw_material_processing,Bowl_cutter,Other,negative,negative,Sample,0.021,3,3/25/25
a357,a357,176,2,10/21/24,pork,NA,yes,Raw_material_processing,Bowl_cutter,Other,negative,negative,Sample,0.318,6,3/25/25
a409,a409,202,3,11/18/24,pork,NA,yes,Raw_material_processing,Bowl_cutter,Other,negative,negative,Sample,0.0324,2,3/25/25
a42,a42,20,1,4/29/24,pork,NA,yes,Raw_material_processing,Bowl_cutter,Other,negative,negative,Sample,3.83,2,7/5/24
a465,a465,230,4,12/8/24,pork,NA,yes,Raw_material_processing,Bowl_cutter,Other,negative,negative,Sample,0.189,4,8/25/25
a475,a475,238,4,12/15/24,pork,NA,yes,Raw_material_processing,Bowl_cutter,Other,negative,negative,Sample,0.0202,3,8/25/25
a505,a505,251,3,1/13/25,pork,NA,yes,Raw_material_processing,Bowl_cutter,Other,negative,negative,Sample,0.402,6,8/25/25
a557,a557,277,4,1/27/25,pork,NA,yes,Raw_material_processing,Bowl_cutter,Other,negative,negative,Sample,0.108,2,8/25/25
a613,a613,304,5,2/16/25,pork,NA,yes,Raw_material_processing,Bowl_cutter,Other,negative,negative,Sample,0.79,4,8/25/25
a647,a647,321,5,5/11/25,pork,NA,yes,Raw_material_processing,Bowl_cutter,Other,negative,negative,Sample,0.188,3,8/25/25
a677,a677,336,4,5/19/25,pork,NA,yes,Raw_material_processing,Bowl_cutter,Other,negative,negative,Sample,2.74,6,8/25/25
a705,a705,350,5,6/30/25,pork,NA,yes,Raw_material_processing,Bowl_cutter,Other,negative,negative,Sample,0.803,2,8/25/25
a729,a729,362,5,8/4/25,pork,NA,yes,Raw_material_processing,Bowl_cutter,Other,negative,negative,Sample,0.043,6,8/25/25
a73,a73,35,1,5/6/24,pork,NA,yes,Raw_material_processing,Bowl_cutter,Other,negative,negative,Sample,0.681,4,7/5/24
a83,a83,39,1,5/26/24,pork,NA,yes,Raw_material_processing,Bowl_cutter,Other,negative,negative,Sample,0.0946,3,7/5/24
a271,a271,134,2,9/9/24,pork,NA,yes,Raw_material_processing,Brine_mixer,Other,negative,negative,Sample,0.0674,2,3/25/25
a419,a419,207,3,11/18/24,pork,NA,yes,Raw_material_processing,Brine_mixer,Other,negative,negative,Sample,0.324,2,3/25/25
a52,a52,25,1,4/29/24,pork,NA,yes,Raw_material_processing,Brine_mixer,Other,negative,negative,Sample,4.14,2,7/5/24
